,id,host_id,host_is_superhost,host_listings_count,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,review_scores_rating,price_normal
0,18666,71615,0,45.0,54,8026,41.40889,2.18555,1,0,6,1.0,2.0,4.0,130.0,3,0,0,0,0,182,0,6,4.867534450455582
1,18674,71615,0,45.0,32,8025,41.4042,2.17306,1,0,8,2.0,3.0,6.0,60.0,1,0,3,20,50,129,10,6,4.0943445622221
2,21605,82522,0,2.0,54,8018,41.4056,2.19821,1,1,2,1.0,1.0,1.0,33.0,2,0,4,8,15,15,36,7,3.4965075614664802
3,23197,90417,1,5.0,54,8930,41.41203,2.22114,1,0,6,2.0,3.0,8.0,210.0,3,0,11,33,63,318,16,7,5.3471075307174685
4,25786,108310,1,1.0,65,8012,41.40145,2.15645,1,1,2,1.0,1.0,1.0,45.0,1,0,8,19,41,115,49,7,3.8066624897703196
5,31377,134698,0,9.0,24,8025,41.41097,2.1707,1,1,2,1.0,1.0,2.0,42.0,3,0,5,8,16,211,0,7,3.7376696182833684
6,31380,134698,0,9.0,24,8025,41.4109,2.17082,1,1,3,1.0,1.0,2.0,53.0,3,0,3,8,15,211,2,6,3.970291913552122
7,31958,136853,0,41.0,0,8024,41.4095,2.15938,1,0,4,1.0,1.0,1.0,75.0,1,0,2,17,29,266,34,7,4.31748811353631
8,32471,136853,0,41.0,21,8024,41.40928,2.16112,1,0,5,1.5,3.0,3.0,85.0,1,0,3,19,31,257,15,6,4.442651256490317
9,32615,141199,0,1.0,40,8029,41.3872,2.14088,1,1,1,1.0,1.0,1.0,30.0,29,0,4,4,4,26,0,7,3.4011973816621555
10,34241,73163,0,3.0,15,8002,41.37916,2.17535,1,1,2,1.0,1.0,1.0,80.0,4,0,25,55,80,293,0,4,4.382026634673881
11,34981,73163,0,3.0,3,8002,41.37859,2.1773,1,0,8,3.0,4.0,6.0,250.0,5,0,9,31,61,151,24,7,5.521460917862246
12,35379,152232,1,4.0,6,8036,41.39036,2.15274,1,1,2,2.0,1.0,1.0,40.0,2,0,1,3,12,257,69,7,3.6888794541139363
13,35388,152232,1,4.0,25,8036,41.39065,2.15196,1,1,1,2.0,1.0,1.0,30.0,2,0,3,13,18,121,48,7,3.4011973816621555
14,35390,152232,1,4.0,6,8036,41.39153,2.15125,1,1,1,2.0,1.0,1.0,30.0,2,0,2,17,45,286,55,7,3.4011973816621555
15,35392,152232,1,4.0,25,8036,41.39082,2.15078,1,1,2,2.0,1.0,1.0,45.0,2,0,3,8,17,273,56,7,3.8066624897703196
16,36763,158596,1,1.0,26,8003,41.37906,2.19141,1,1,1,1.0,1.0,1.0,38.0,2,0,11,34,64,339,13,7,3.6375861597263857
17,40983,177617,0,7.0,6,8009,41.3956,2.16761,21,0,4,1.0,1.0,2.0,95.0,3,0,0,0,0,0,87,7,4.553876891600541
18,46153,90417,1,5.0,3,8003,41.38776,2.17782,1,0,2,1.0,2.0,3.0,45.0,180,0,0,0,6,281,1,5,3.8066624897703196
19,49213,208154,0,2.0,16,8004,41.37315,2.1664,1,1,2,1.0,1.0,1.0,35.0,2,0,3,14,29,93,8,7,3.5553480614894135
20,58512,280070,0,1.0,54,8026,41.41099,2.18119,1,0,6,2.0,3.0,3.0,116.0,7,0,0,2,22,179,36,6,4.7535901911063645
21,61444,297545,0,5.0,6,8007,41.38901,2.16552,1,0,6,1.0,2.0,4.0,105.0,2,0,5,10,23,270,9,6,4.653960350157523
22,66037,323105,0,6.0,3,8003,41.38322,2.18234,1,0,6,2.0,2.0,3.0,190.0,3,0,3,8,10,50,26,6,5.247024072160486
23,67065,136853,0,41.0,25,8036,41.39161,2.15089,1,0,7,2.0,4.0,7.0,90.0,1,0,2,8,30,147,27,6,4.499809670330265
24,68547,340570,0,1.0,15,8002,41.38072,2.17811,1,1,2,2.0,1.0,2.0,49.0,2,0,15,45,75,350,20,7,3.8918202981106265
25,70099,353987,1,1.0,3,8001,41.37828,2.1708,3,1,4,1.5,1.0,3.0,49.0,2,0,3,14,26,285,87,7,3.8918202981106265
26,71520,366428,0,1.0,21,8035,41.41837,2.13419,1,0,8,4.0,3.0,5.0,250.0,7,0,14,44,74,349,0,7,5.521460917862246
27,71553,366654,0,9.0,6,8013,41.3974,2.17682,1,0,2,1.0,1.0,1.0,110.0,4,0,27,57,87,362,3,6,4.700480365792417
28,71603,366654,0,9.0,6,8010,41.39038,2.17606,1,0,4,2.0,2.0,4.0,390.0,3,0,30,60,90,365,1,7,5.966146739123692
29,71736,368317,0,6.0,19,8001,41.38321,2.16656,1,0,5,1.0,4.0,4.0,80.0,32,0,30,60,90,365,0,6,4.382026634673881
30,72436,375625,1,5.0,17,8005,41.39837,2.20623,24,0,2,1.0,1.0,1.0,1000.0,1,0,27,57,87,357,172,7,6.907755278982137
31,72793,368317,0,6.0,19,8001,41.38248,2.16415,1,0,2,1.0,1.0,2.0,60.0,32,0,0,7,37,312,0,7,4.0943445622221
32,72794,368317,0,6.0,3,8001,41.38294,2.16534,1,0,2,1.0,2.0,2.0,60.0,32,0,0,7,37,312,0,6,4.0943445622221
33,73455,383697,0,19.0,3,8001,41.38422,2.16701,1,0,5,1.0,2.0,4.0,148.0,2,0,3,7,26,281,25,6,4.997212273764115
34,73692,297545,0,5.0,6,8007,41.39108,2.16521,1,0,5,1.0,2.0,3.0,105.0,2,0,4,19,35,296,6,6,4.653960350157523
35,73693,297545,0,5.0,57,8004,41.37163,2.16591,1,0,5,1.0,2.0,2.0,65.0,2,0,4,8,16,262,9,6,4.174387269895637
36,73700,297545,0,5.0,57,8004,41.37335,2.16165,1,0,4,1.0,2.0,2.0,65.0,2,0,5,13,32,279,19,6,4.174387269895637
37,74562,382031,1,1.0,19,8001,41.38255,2.16836,1,1,2,1.0,1.0,1.0,70.0,3,0,7,17,29,304,31,7,4.248495242049359
38,75003,396363,0,106.0,6,8013,41.40445,2.17765,1,0,5,1.0,2.0,3.0,139.0,2,0,18,40,64,324,4,7,4.9344739331306915
39,75411,400154,0,5.0,12,8026,41.40825,2.18729,1,0,6,1.0,3.0,6.0,125.0,3,0,0,14,24,80,9,7,4.8283137373023015
40,80004,431839,0,1.0,57,8004,41.37188,2.16656,1,0,5,1.0,3.0,3.0,107.0,4,0,5,9,19,131,28,7,4.672828834461906
41,83283,700165,0,4.0,50,8011,41.38227,2.16141,1,1,2,1.0,1.0,1.0,62.0,3,0,19,47,73,73,15,6,4.127134385045092
42,89756,488117,1,6.0,3,8001,41.37815,2.16894,1,0,9,1.0,3.0,7.0,350.0,6,0,0,15,35,264,2,7,5.857933154483459
43,89776,488151,1,1.0,6,8010,41.39377,2.1795,1,0,4,1.0,1.0,2.0,65.0,3,0,3,7,12,230,73,7,4.174387269895637
44,95719,509260,1,1.0,3,8003,41.3839,2.18011,1,1,2,1.0,1.0,1.0,53.0,2,0,1,4,11,286,44,7,3.970291913552122
45,97529,497450,0,1.0,21,8025,41.40906,2.16539,10,0,2,1.0,1.0,2.0,40.0,60,0,7,7,15,105,0,7,3.6888794541139363
46,100256,527201,0,1.0,3,8003,41.37983,2.19249,1,0,4,1.0,1.0,1.0,60.0,32,0,4,34,64,339,2,7,4.0943445622221
47,104485,543801,0,0.0,6,8036,41.39119,2.15641,1,1,2,1.0,1.0,1.0,35.0,2,0,8,38,68,343,0,6,3.5553480614894135
48,109462,396363,0,106.0,0,8037,41.40264,2.16717,1,0,4,1.0,1.0,2.0,135.0,2,0,20,30,60,327,2,5,4.90527477843843
49,110041,396363,0,106.0,21,8037,41.40244,2.16564,1,0,4,1.0,1.0,2.0,135.0,2,0,17,26,49,316,9,7,4.90527477843843
50,110098,396363,0,106.0,3,8002,41.3805,2.17932,1,0,4,1.0,1.0,3.0,129.0,2,0,10,18,28,276,6,6,4.859812404361672
51,112538,567180,0,5.0,6,8025,41.40549,2.17368,1,0,6,2.0,3.0,5.0,200.0,4,0,11,41,71,125,1,6,5.298317366548036
52,117010,567180,0,5.0,6,8025,41.40745,2.17401,24,0,8,2.0,3.0,6.0,220.0,2,0,0,0,0,0,1,7,5.393627546352362
53,118228,567180,0,5.0,32,8025,41.40593,2.17575,24,0,6,1.5,3.0,6.0,230.0,2,0,29,52,52,52,0,6,5.438079308923196
54,119546,603336,1,1.0,19,8001,41.37969,2.16532,1,1,2,1.0,1.0,1.0,80.0,3,0,11,19,24,292,54,7,4.382026634673881
55,130227,641496,0,1.0,4,8019,41.40646,2.21282,10,1,2,1.5,1.0,1.0,48.0,2,0,9,14,22,170,17,7,3.871201010907891
56,135513,664196,0,1.0,17,8005,41.39841,2.20613,1,0,5,1.5,2.0,3.0,80.0,2,0,1,11,41,316,27,7,4.382026634673881
57,136670,610674,0,8.0,40,8034,41.38846,2.12351,1,1,2,1.0,1.0,1.0,35.0,3,0,6,21,46,223,21,7,3.5553480614894135
58,138055,567180,0,5.0,32,8025,41.40764,2.17573,24,0,6,1.5,3.0,4.0,250.0,3,0,0,0,0,0,36,6,5.521460917862246
59,144471,700165,0,4.0,50,8011,41.38226,2.15898,1,1,2,1.0,1.0,1.0,62.0,3,0,19,47,77,77,3,6,4.127134385045092
60,147275,711907,0,1.0,24,8041,41.42318,2.17501,1,1,1,1.0,1.0,1.0,14.0,4,0,3,8,10,264,24,6,2.6390573296152584
61,153376,737399,0,1.0,3,8003,41.38792,2.17768,1,1,1,1.0,1.0,1.0,65.0,2,0,2,2,2,2,2,7,4.174387269895637
62,154281,742068,0,2.0,3,8001,41.37799,2.17281,21,1,2,1.0,1.0,1.0,50.0,3,0,0,0,19,109,27,7,3.912023005428146
63,154437,474355,1,1.0,6,8036,41.39106,2.1509,1,1,1,1.0,1.0,1.0,39.0,7,0,9,25,52,125,10,7,3.6635616461296463
64,158238,759411,0,4.0,40,8014,41.38416,2.13636,1,0,8,2.0,4.0,5.0,150.0,2,0,18,42,72,347,12,7,5.0106352940962555
65,162091,567180,0,5.0,32,8025,41.40532,2.17427,24,0,8,1.5,3.0,6.0,149.0,2,0,29,52,52,142,6,7,5.003946305945459
66,163490,713364,0,6.0,5,8010,41.39106,2.17662,1,0,6,1.0,2.0,4.0,160.0,3,0,2,15,24,98,40,7,5.075173815233827
67,171646,400154,0,5.0,54,8026,41.40696,2.18711,1,0,6,1.0,2.0,4.0,105.0,3,0,2,9,34,93,13,7,4.653960350157523
68,171816,400154,0,5.0,12,8026,41.40828,2.18622,1,0,6,1.0,2.0,4.0,115.0,3,0,1,11,33,191,8,7,4.74493212836325
69,174382,567180,0,5.0,6,8025,41.40616,2.17423,24,0,8,1.5,3.0,5.0,149.0,2,0,0,0,0,0,10,6,5.003946305945459
70,179619,860071,0,3.0,57,8014,41.37151,2.13607,1,1,2,1.0,1.0,1.0,27.0,3,0,0,0,0,190,4,7,3.295836866004329
71,180293,863772,0,1.0,6,8037,41.39847,2.16452,3,1,2,2.0,2.0,1.0,50.0,2,0,7,14,26,256,0,8,3.912023005428146
72,181824,852032,1,1.0,54,8019,41.40846,2.2042,1,1,2,1.0,1.0,1.0,49.0,2,0,1,1,1,78,57,7,3.8918202981106265
73,184516,784341,1,5.0,3,8002,41.38199,2.17357,1,1,2,1.0,1.0,1.0,80.0,3,0,1,10,10,10,15,7,4.382026634673881
74,186542,896372,0,1.0,5,8009,41.39326,2.17386,1,1,2,1.0,1.0,1.0,33.0,2,0,0,0,0,98,0,7,3.4965075614664802
75,186598,896690,1,1.0,19,8001,41.3818,2.16527,1,1,2,1.5,1.0,1.0,50.0,2,0,2,9,20,273,63,7,3.912023005428146
76,188267,366654,0,9.0,5,8010,41.39368,2.17614,1,0,8,2.0,3.0,8.0,340.0,2,0,18,48,78,353,7,7,5.8289456176102075
77,190348,919480,0,1.0,40,8034,41.39009,2.12588,1,1,2,1.0,1.0,1.0,46.0,7,0,0,0,0,0,0,7,3.828641396489095
78,193923,939590,1,1.0,24,8031,41.43846,2.1556,1,1,1,1.0,1.0,1.0,20.0,3,0,0,5,27,302,15,7,2.995732273553991
79,194460,944355,0,1.0,8,8019,41.41431,2.21686,1,1,2,1.0,1.0,1.0,21.0,2,0,1,2,6,253,65,7,3.044522437723423
80,196021,953719,1,2.0,30,8011,41.38796,2.15946,1,0,8,3.0,4.0,6.0,310.0,5,0,3,4,5,265,47,7,5.736572297479192
81,196196,567180,0,5.0,6,8025,41.40625,2.17512,24,0,8,2.0,4.0,8.0,220.0,30,0,15,38,38,128,14,6,5.393627546352362
82,198958,971768,0,24.0,54,8019,41.40735,2.21294,1,0,8,2.0,4.0,6.0,190.0,1,0,7,17,42,117,3,7,5.247024072160486
83,199422,971768,0,24.0,6,8013,41.3969,2.1823,1,0,6,1.0,2.0,4.0,75.0,1,0,1,1,5,64,29,7,4.31748811353631
84,201958,177617,0,7.0,3,8002,41.38802,2.17301,1,0,4,1.0,1.0,1.0,100.0,32,0,0,0,0,82,6,7,4.605170185988092
85,206122,1013855,0,19.0,65,8009,41.3984,2.15801,1,0,4,1.0,2.0,2.0,178.0,3,0,5,21,37,291,31,7,5.181783550292085
86,206167,1014050,1,1.0,16,8004,41.37406,2.16524,1,0,2,1.0,1.0,1.0,120.0,3,0,6,10,11,201,23,7,4.787491742782046
87,209673,1033366,0,1.0,21,8006,41.39895,2.15742,1,0,3,1.0,2.0,2.0,77.0,2,0,0,8,27,285,41,7,4.343805421853684
88,213368,1037730,1,4.0,34,8024,41.413,2.159,10,1,2,1.0,1.0,1.0,55.0,2,0,14,26,54,329,4,7,4.007333185232471
89,213581,1100014,0,3.0,56,8003,41.38818,2.17571,1,1,2,1.0,1.0,1.0,32.0,3,0,4,5,17,292,28,6,3.4657359027997265
90,214970,1110014,0,1.0,57,8004,41.37171,2.16412,1,1,2,1.0,1.0,1.0,35.0,4,0,1,6,8,274,33,7,3.5553480614894135
91,216699,1118232,1,2.0,3,8003,41.38484,2.17796,1,1,2,1.0,1.0,1.0,42.0,4,0,0,0,1,196,11,7,3.7376696182833684
92,218503,1130143,1,2.0,54,8005,41.39765,2.20739,1,1,1,1.0,1.0,1.0,30.0,3,0,13,43,73,254,12,7,3.4011973816621555
93,228638,1190018,0,0.0,63,8023,41.41153,2.14695,1,1,2,2.5,1.0,1.0,40.0,2,0,5,28,36,36,0,7,3.6888794541139363
94,232400,4369049,1,2.0,65,8006,41.39745,2.1549,1,0,2,2.0,1.0,2.0,95.0,3,0,0,0,0,0,44,7,4.553876891600541
95,234375,1227290,0,1.0,6,8013,41.39918,2.1752,1,0,4,1.0,1.0,3.0,105.0,5,0,5,20,47,137,15,6,4.653960350157523
96,237895,1201857,0,1.0,67,8013,41.39895,2.183,1,1,2,1.0,1.0,2.0,50.0,4,0,9,35,54,329,2,7,3.912023005428146
97,238703,567180,0,5.0,6,8025,41.40571,2.17505,24,0,8,1.5,3.0,8.0,149.0,2,0,29,52,52,142,2,6,5.003946305945459
98,239492,1255733,1,2.0,16,8004,41.37026,2.16103,3,1,3,1.0,1.0,3.0,44.0,4,0,1,11,23,23,25,7,3.784189633918261
99,239821,1257705,0,4.0,52,8021,41.39607,2.14534,1,0,8,1.0,3.0,6.0,120.0,10,0,2,7,17,285,0,6,4.787491742782046
100,250016,1310304,0,21.0,15,8002,41.38732,2.17367,1,0,5,2.0,3.0,5.0,65.0,45,0,0,0,0,214,1,7,4.174387269895637
101,251424,1318630,0,4.0,30,8007,41.38957,2.1625,1,1,2,1.0,1.0,2.0,45.0,2,0,0,0,4,239,4,5,3.8066624897703196
102,252232,1298586,0,184.0,55,8020,41.41531,2.20069,1,0,6,1.0,3.0,4.0,83.0,2,0,6,20,43,128,35,7,4.418840607796598
103,255195,1310304,0,21.0,3,8002,41.38151,2.17187,1,0,4,1.0,1.0,2.0,41.0,32,0,1,22,52,327,0,6,3.713572066704308
104,256628,742068,0,2.0,19,8001,41.37654,2.17385,21,1,1,1.0,1.0,1.0,40.0,3,0,0,1,18,108,25,7,3.6888794541139363
105,256677,1350468,0,1.0,15,8002,41.38065,2.17629,1,1,2,1.0,1.0,1.0,50.0,3,0,5,20,37,312,30,6,3.912023005428146
106,256982,1352184,1,1.0,3,8003,41.38406,2.17926,1,1,3,0.5,1.0,2.0,40.0,3,0,3,10,24,299,26,7,3.6888794541139363
107,261750,1369675,0,4.0,21,8012,41.39809,2.15839,24,0,12,2.0,5.0,8.0,350.0,3,0,15,39,69,335,3,5,5.857933154483459
108,264125,1377744,0,2.0,11,8025,41.41242,2.17624,1,0,6,1.5,3.0,3.0,89.0,4,0,4,11,18,285,32,7,4.48863636973214
109,265491,1392322,0,1.0,3,8003,41.37707,2.18787,1,1,2,1.0,1.0,1.0,80.0,3,0,4,23,53,53,24,7,4.382026634673881
110,265607,1367370,0,2.0,67,8013,41.39795,2.18135,1,0,6,1.0,4.0,5.0,175.0,3,0,5,13,22,22,5,6,5.1647859739235145
111,267816,1404293,1,3.0,26,8005,41.379,2.18327,4,0,10,5.0,4.0,6.0,900.0,2,0,30,52,78,353,5,7,6.802394763324311
112,268017,1405013,0,15.0,5,8009,41.3939,2.17154,1,0,6,2.0,3.0,4.0,184.0,2,0,5,10,18,138,2,6,5.214935757608986
113,268022,1405013,0,15.0,6,8009,41.39288,2.16987,1,0,6,2.0,3.0,3.0,184.0,2,0,11,25,39,162,5,5,5.214935757608986
114,268417,1406951,0,1.0,6,8015,41.37687,2.14979,1,1,2,1.0,1.0,1.0,36.0,3,0,0,0,3,157,33,6,3.58351893845611
115,270050,1414100,1,2.0,3,8003,41.38466,2.18,1,1,2,1.0,1.0,1.0,48.0,1,0,0,0,0,62,43,7,3.871201010907891
116,271996,155686,0,4.0,0,8025,41.40279,2.16612,1,0,3,1.0,2.0,1.0,51.0,31,0,25,51,70,209,1,7,3.9318256327243257
117,272282,1425070,1,1.0,6,8011,41.38237,2.15769,1,0,8,2.0,3.0,6.0,290.0,3,0,3,7,14,71,53,7,5.66988092298052
118,273229,1429552,1,1.0,6,8015,41.37704,2.15782,1,0,2,1.0,2.0,1.0,72.0,7,0,9,19,20,210,20,7,4.276666119016055
119,273932,1432835,0,38.0,6,8036,41.39053,2.15794,1,0,4,2.0,2.0,2.0,100.0,3,0,1,13,31,144,43,7,4.605170185988092
120,275336,1435464,0,21.0,6,8015,41.38294,2.15728,24,0,6,2.0,3.0,4.0,130.0,3,0,9,25,45,313,29,7,4.867534450455582
121,275346,1435464,0,21.0,58,8034,41.3924,2.12314,24,0,6,2.0,3.0,3.0,215.0,3,0,17,41,71,346,10,7,5.3706380281276624
122,275350,1435464,0,21.0,3,8001,41.3796,2.17352,24,0,5,2.0,3.0,4.0,100.0,32,0,0,29,59,264,2,7,4.605170185988092
123,275889,1435464,0,21.0,19,8001,41.38191,2.1714,24,0,4,1.0,1.0,1.0,72.0,32,0,24,54,84,174,1,6,4.276666119016055
124,276324,1443815,0,2.0,21,8012,41.40098,2.16085,1,0,4,1.0,2.0,4.0,106.0,5,0,1,6,36,311,15,6,4.663439094112067
125,278036,1451449,0,8.0,6,8007,41.3902,2.16674,1,1,3,2.0,1.0,2.0,45.0,5,0,8,20,22,22,31,7,3.8066624897703196
126,281978,1451449,0,8.0,5,8009,41.39111,2.16677,1,1,3,2.0,1.0,2.0,45.0,5,0,13,36,36,88,19,6,3.8066624897703196
127,281985,1451449,0,8.0,5,8009,41.39316,2.16559,1,1,3,2.0,1.0,2.0,30.0,5,0,4,11,13,13,23,6,3.4011973816621555
128,283231,1475411,1,1.0,6,8005,41.39121,2.18665,1,0,4,1.0,1.0,2.0,85.0,1,0,5,5,13,263,55,7,4.442651256490317
129,286105,1489008,0,1.0,67,8013,41.40034,2.183,1,1,2,1.0,2.0,1.0,40.0,30,0,5,5,15,290,0,7,3.6888794541139363
130,287294,1174446,0,3.0,39,8005,41.38561,2.20086,4,0,6,2.0,3.0,3.0,196.0,2,0,0,0,7,274,1,7,5.278114659230517
131,288034,1447144,0,71.0,25,8036,41.38791,2.15064,1,0,4,1.0,1.0,2.0,80.0,3,0,26,56,86,354,1,7,4.382026634673881
132,288781,1411775,0,4.0,19,8001,41.37806,2.16472,1,0,2,2.0,1.0,1.0,47.0,32,0,30,60,90,365,0,8,3.8501476017100584
133,289405,1503151,0,77.0,15,8002,41.38178,2.17463,24,1,1,2.0,1.0,1.0,25.0,32,0,8,38,68,343,0,6,3.2188758248682006
134,289600,1503151,0,77.0,15,8002,41.38296,2.17411,24,1,2,2.0,1.0,2.0,27.0,32,0,29,53,53,256,0,8,3.295836866004329
135,289616,1503151,0,77.0,15,8002,41.38373,2.17412,24,1,1,2.0,1.0,1.0,23.0,32,0,9,32,32,191,0,5,3.1354942159291497
136,289761,1503151,0,77.0,15,8002,41.38292,2.17422,24,1,1,2.0,1.0,1.0,23.0,32,0,6,36,66,341,0,8,3.1354942159291497
137,290592,1377744,0,2.0,6,8025,41.41087,2.17644,1,0,6,1.0,3.0,3.0,69.0,4,0,4,7,11,266,43,7,4.23410650459726
138,296287,1503151,0,77.0,15,8002,41.38295,2.17484,24,1,1,2.0,1.0,1.0,20.0,32,0,0,0,0,0,10,5,2.995732273553991
139,297066,1541784,0,1.0,57,8004,41.37336,2.16997,1,0,5,2.0,2.0,3.0,126.0,1,0,6,21,37,299,107,7,4.836281906951478
140,302179,1432835,0,38.0,6,8011,41.38519,2.16105,1,0,6,1.5,2.0,3.0,90.0,3,0,4,12,21,129,43,7,4.499809670330265
141,302440,942210,0,5.0,19,8001,41.38486,2.16841,1,0,4,1.0,1.0,2.0,45.0,32,0,14,35,42,317,2,7,3.8066624897703196
142,305213,1570247,1,1.0,50,8015,41.37669,2.16532,1,0,2,1.0,1.0,1.0,126.0,5,0,9,31,56,331,31,7,4.836281906951478
143,308166,1561612,1,1.0,6,8008,41.39253,2.15888,1,0,6,1.0,3.0,2.0,135.0,3,0,0,2,9,50,32,7,4.90527477843843
144,315769,1994100,0,3.0,6,8025,41.40577,2.17324,1,0,6,1.0,2.0,3.0,100.0,3,0,2,6,14,257,5,7,4.605170185988092
145,318865,1608447,1,1.0,65,8012,41.40048,2.158,1,0,2,1.5,1.0,1.0,119.0,3,0,4,10,13,94,44,7,4.77912349311153
146,320506,1642180,0,0.0,57,8004,41.37186,2.16803,1,0,2,1.0,1.0,1.0,115.0,4,0,4,7,11,255,7,7,4.74493212836325
147,322268,1650460,0,2.0,15,8002,41.37949,2.17725,1,0,2,1.0,2.0,3.0,55.0,32,0,29,59,82,82,0,7,4.007333185232471
148,323854,1657312,0,1.0,6,8026,41.40658,2.17549,1,1,2,1.0,1.0,2.0,30.0,1,0,0,0,0,0,0,7,3.4011973816621555
149,327133,1451449,0,8.0,6,8009,41.39309,2.16738,1,1,2,2.0,1.0,1.0,28.0,6,0,5,15,15,67,18,6,3.332204510175204
150,330248,880805,0,1.0,6,8011,41.38296,2.16275,1,1,2,1.0,1.0,1.0,50.0,2,0,25,35,64,315,1,7,3.912023005428146
151,330723,1687383,0,2.0,19,8001,41.37729,2.17225,1,1,2,2.0,1.0,1.0,30.0,14,0,4,4,11,268,9,7,3.4011973816621555
152,330766,1687524,0,1.0,5,8010,41.39074,2.17306,1,0,4,1.0,1.0,3.0,120.0,5,0,0,0,7,7,1,7,4.787491742782046
153,330957,893805,1,7.0,5,8009,41.39831,2.17174,1,0,5,1.0,3.0,4.0,111.0,2,0,5,28,56,324,80,7,4.709530201312334
154,331026,440881,0,3.0,6,8015,41.3785,2.16132,1,1,2,1.0,1.0,1.0,25.0,4,0,7,8,13,273,28,7,3.2188758248682006
155,333190,1697782,1,3.0,6,8013,41.4012,2.18139,1,1,2,1.5,1.0,1.0,18.0,3,0,16,25,25,25,40,7,2.8903717578961645
156,335861,1221038,0,3.0,17,8005,41.40504,2.20384,21,0,3,1.0,1.0,2.0,95.0,1,0,9,16,41,315,24,6,4.553876891600541
157,337755,1716315,1,7.0,39,8005,41.39181,2.19263,1,0,4,0.0,1.0,2.0,95.0,3,0,0,0,0,0,0,7,4.553876891600541
158,343622,1743695,0,1.0,57,8014,41.3765,2.14385,1,0,6,1.0,1.0,6.0,115.0,5,0,6,15,45,320,24,6,4.74493212836325
159,346018,1753990,0,3.0,54,8005,41.39196,2.18784,1,1,2,1.5,1.0,1.0,70.0,1,0,29,52,82,357,2,7,4.248495242049359
160,351395,1435464,0,21.0,6,8018,41.39362,2.18183,24,0,6,2.0,3.0,4.0,125.0,3,0,7,25,55,327,15,7,4.8283137373023015
161,352772,1786501,0,8.0,30,8015,41.38084,2.15047,1,0,5,1.0,2.0,5.0,145.0,2,0,3,6,16,289,30,7,4.976733742420574
162,353640,1791076,0,2.0,3,8003,41.38109,2.17855,1,0,6,2.0,2.0,4.0,110.0,2,0,4,6,11,241,33,7,4.700480365792417
163,357576,1809535,1,2.0,21,8012,41.39994,2.15211,1,0,6,1.0,3.0,4.0,119.0,1,0,2,4,6,248,6,7,4.77912349311153
164,357958,1809119,1,3.0,6,8015,41.38736,2.15547,1,1,2,1.0,1.0,2.0,57.0,1,0,0,12,31,83,23,7,4.04305126783455
165,359277,1818044,0,3.0,15,8002,41.37769,2.17762,3,1,3,4.0,1.0,2.0,40.0,2,0,3,9,27,226,25,5,3.6888794541139363
166,359841,1820272,0,9.0,17,8005,41.40331,2.20929,1,0,4,1.0,2.0,2.0,60.0,2,0,4,7,14,111,79,7,4.0943445622221
167,364030,1839136,0,1.0,6,8015,41.3756,2.16127,1,0,4,1.0,2.0,2.0,175.0,3,0,5,10,25,285,38,7,5.1647859739235145
168,365147,440881,0,3.0,50,8015,41.37818,2.15967,1,1,2,1.0,1.0,1.0,39.0,3,0,0,0,0,190,20,7,3.6635616461296463
169,365911,1260560,0,4.0,30,8015,41.37977,2.15495,1,0,4,1.5,3.0,4.0,119.0,3,0,7,16,30,283,19,7,4.77912349311153
170,370665,1447144,0,71.0,3,8003,41.38458,2.18118,1,0,6,1.0,3.0,4.0,90.0,32,0,30,60,68,335,0,8,4.499809670330265
171,374491,1818044,0,3.0,3,8002,41.37822,2.17798,1,1,4,1.0,1.0,3.0,40.0,2,0,2,4,23,271,22,6,3.6888794541139363
172,374561,1818044,0,3.0,3,8002,41.37744,2.17776,1,1,2,1.0,1.0,1.0,55.0,2,0,8,30,60,285,23,6,4.007333185232471
173,377161,1444707,0,2.0,21,8023,41.41895,2.14928,1,0,4,1.0,2.0,3.0,60.0,2,0,0,2,6,216,62,7,4.0943445622221
174,378998,1903257,0,1.0,66,8031,41.42618,2.17423,23,1,3,1.0,1.0,2.0,20.0,1,0,0,0,0,0,0,8,2.995732273553991
175,379868,1906952,1,2.0,6,8025,41.40642,2.17093,1,1,1,1.0,1.0,1.0,56.0,2,0,13,32,33,33,46,7,4.02535169073515
176,380421,1414100,1,2.0,3,8003,41.38437,2.18,1,1,2,1.0,1.0,1.0,48.0,1,0,2,2,10,71,57,7,3.871201010907891
177,380903,1725307,0,2.0,5,8009,41.39656,2.17366,1,0,8,2.0,3.0,7.0,75.0,30,0,9,39,69,344,2,6,4.31748811353631
178,384063,1447144,0,71.0,6,8013,41.39606,2.17605,1,0,6,2.0,3.0,4.0,130.0,1,0,30,60,90,365,1,4,4.867534450455582
179,384155,1751133,0,3.0,10,8003,41.38333,2.18125,1,0,5,2.0,2.0,4.0,64.0,32,0,4,12,12,284,3,7,4.1588830833596715
180,384464,674212,0,8.0,5,8007,41.38855,2.16942,1,0,2,1.0,1.0,1.0,160.0,2,0,8,17,31,169,21,7,5.075173815233827
181,384867,1926968,0,2.0,6,8011,41.38777,2.16252,1,1,2,1.5,1.0,1.0,20.0,2,0,1,5,6,161,53,6,2.995732273553991
182,385049,3775349,1,37.0,3,8003,41.38179,2.18179,20,0,6,2.0,3.0,6.0,210.0,2,0,2,13,28,88,31,7,5.3471075307174685
